cityName,countryName,cityid,lon,lat,maxTemp,humidity,cloud,windSpeed
College,US,5859699,-147.8,64.86,82.4,32,1,3.36
Chipinge,ZW,893549,32.62,-20.19,57.75,100,92,4.97
Nsanje,MZ,924572,35.26,-16.92,61.62,90,0,3.85
Gambo,NG,2565345,9.63,11.96,75.48,85,0,12.12
Bakchar,RU,1511057,82.07,57.02,62.16,69,92,10.45
Amnat Charoen,TH,1621060,104.63,15.86,86.1,74,92,16.6
Santa Cruz,US,5393052,-122.03,36.97,66.2,87,75,4.7
Lata,IN,1253628,78.62,30.78,65.13,100,92,1.72
Strezhevoy,RU,1490796,77.6,60.73,71.6,49,0,6.71
Alta Floresta,BR,6316343,-56.08,-9.87,71.97,59,0,2.95
Puli,TW,1671564,120.97,23.97,82.4,83,75,8.05
Springbok,ZA,3361142,17.88,-29.67,55.23,42,32,10.78
Cabedelo,BR,3404558,-34.84,-6.97,69.8,94,40,5.82
Lakhdenpokhya,RU,537147,30.2,61.52,71.52,85,0,4.97
Bemidji,US,5017822,-94.89,47.48,68.0,82,1,11.01
Coquimbo,CL,3893629,-71.34,-29.95,46.4,87,0,3.36
Tehachapi,US,5401297,-118.45,35.13,91.4,56,1,6.93
Hasaki,JP,2112802,140.83,35.73,95.0,53,75,10.29
Arroio Grande,BR,3471422,-53.09,-32.24,51.72,100,92,7.43
Nizhniy Tsasuchey,RU,2019118,115.13,50.52,74.13,75,0,8.43
Tarbagatay,RU,2015545,107.36,51.48,77.0,44,0,2.24
Skelleftea,SE,602913,20.95,64.75,69.8,83,8,4.7
Jacareacanga,BR,3397763,-57.76,-6.22,73.32,81,0,2.06
Kysyl-Syr,RU,2021017,122.77,63.9,61.98,61,0,8.21
Niquelandia,BR,3456285,-48.46,-14.47,65.76,52,36,9.66
Havre-Saint-Pierre,CA,5972291,-63.6,50.23,62.6,93,90,3.06
Thurso,GB,2635881,-3.52,58.6,57.2,100,75,8.66
Inyonga,TZ,159134,32.06,-6.72,61.08,54,0,8.55
Kapiri Mposhi,ZM,913029,28.68,-13.97,52.89,87,76,12.24
Te Anau,NZ,2181625,167.72,-45.41,38.04,99,92,3.85
Dergachi,RU,566456,48.77,51.24,72.6,59,92,19.51
Ekibastuz,KZ,1524325,75.32,51.72,59.82,97,100,7.65
Maha Sarakham,TH,1608900,103.3,16.19,89.6,62,75,16.11
Miandrivazo,MG,1059051,45.46,-19.53,72.87,45,0,6.64
Ngunguru,NZ,2186111,174.5,-35.62,54.78,100,24,8.66
Muravlenko,RU,1540711,74.5,63.79,77.64,67,0,9.55
Ulladulla,AU,2145554,150.48,-35.36,66.2,20,0,9.17
Puro,PH,1706889,123.76,13.13,78.81,97,92,12.01
Jaciara,BR,3460355,-54.98,-15.95,62.61,79,24,3.4
Zhob,PK,1162105,69.45,31.34,87.54,48,0,4.07
Grand Gaube,MU,934479,57.66,-20.01,75.2,73,40,14.99
Keflavik,IS,3415496,-22.56,64.0,48.2,100,90,2.24
Sulangan,PH,1685422,123.72,11.14,78.27,100,92,6.98
Japeri,BR,3460132,-43.65,-22.64,71.6,94,75,2.06
Kiunga,PG,2093846,141.3,-6.12,82.23,75,64,2.95
Sohbatpur,PK,1164660,68.54,28.52,99.15,46,0,6.53
Male,UA,695464,33.7,50.74,66.93,100,64,6.42
Angoram,PG,2100765,144.07,-4.06,95.28,42,0,2.62
Deputatskiy,RU,2028164,139.9,69.3,52.71,92,92,3.85
Kirensk,RU,2022083,108.12,57.78,58.2,78,80,3.4
Itapetinga,BR,3460730,-40.25,-15.25,62.34,99,76,5.53
Las Vegas,US,5506956,-115.15,36.17,96.8,23,20,2.39
Nyurba,RU,2018735,118.35,63.29,61.08,61,0,5.41
Beloha,MG,1067565,45.06,-25.17,66.66,53,0,13.35
Kuna,US,5597955,-116.42,43.49,75.2,48,20,3.51
Bosaso,SO,64013,49.18,11.28,95.0,34,0,26.4
Muddebihal,IN,1262669,76.13,16.33,81.69,70,76,17.94
Berdigestyakh,RU,2026861,126.7,62.1,56.58,70,76,8.77
Blackburn,GB,2655524,-2.48,53.75,64.4,100,75,9.17
Surman,LY,2210560,12.57,32.76,93.2,13,5,9.17
Ponta Delgada,PT,3372783,-25.67,37.73,68.0,94,40,4.7
Tilichiki,RU,2120591,166.1,60.47,61.8,79,8,7.2
Bairnsdale,AU,2177233,147.63,-37.83,55.68,64,36,7.87
George Town,MY,1735106,100.33,5.42,91.4,63,75,9.17
Thohoyandou,ZA,949224,30.46,-22.97,57.3,96,88,6.76
Ashland,US,4282757,-82.64,38.48,68.0,93,75,4.7
Buin,CL,3897774,-70.74,-33.73,33.8,80,0,2.17
Dossor,KZ,610023,52.98,47.52,86.01,24,56,18.95
Tateyama,JP,1849876,137.31,36.66,95.0,50,20,10.29
Daru,SL,2409663,-10.85,7.99,71.52,99,88,2.17
Fernley,US,5504003,-119.25,39.61,73.4,49,75,5.82
Tindwari,IN,1254442,80.53,25.62,85.92,94,64,9.78
Blackwater,GB,2639577,-0.78,51.33,71.6,82,0,2.24
Goedereede,NL,2755485,3.98,51.82,69.8,82,20,4.7
Mareeba,AU,2158767,145.42,-16.99,78.8,61,40,12.75
Ikongo,MG,1064234,47.44,-21.88,53.79,94,92,10.78
Monte Santo de Minas,BR,3456816,-46.98,-21.19,57.03,73,36,6.76
Belvidere,US,4884453,-88.84,42.26,66.2,100,1,7.43
Kanniyakumari,IN,1268008,77.57,8.08,79.08,97,32,17.94
Meulaboh,ID,1214488,96.13,4.14,85.56,94,36,4.52
Monte Alegre,BR,3394605,-54.07,-2.0,78.72,72,32,4.63
Kaitong,CN,2036338,123.15,44.81,93.03,79,0,6.2
Port Lincoln,AU,2063036,135.86,-34.72,59.55,92,76,33.49
Ocampo,PH,1697332,123.37,13.56,80.88,96,92,13.02
Geraldton,CA,5960603,-86.95,49.72,60.8,72,20,3.36
Chapleau,CA,5919915,-83.4,47.85,66.03,63,20,6.64
Tura,IN,1254046,90.21,25.52,79.62,98,88,3.62
Longyan,CN,1802276,117.03,25.1,85.38,65,44,2.39
Rabaul,PG,2087894,152.17,-4.2,75.3,100,92,3.85
Pangnirtung,CA,6096551,-65.72,66.15,43.17,75,32,2.95
Ati,TD,2436400,18.34,13.21,82.5,69,0,12.8
Kungurtug,RU,1501377,97.53,50.6,67.29,56,8,2.73
Wadena,CA,6174914,-103.8,51.95,61.08,64,68,16.49
Quattro Castella,IT,3169687,10.47,44.63,69.8,88,0,8.05
Oktyabrskiy,RU,515873,37.97,55.61,64.4,88,90,6.71
Husavik,CA,5961417,-96.99,50.56,61.44,100,0,4.63
Matara,PE,3948642,-72.9,-13.74,28.68,92,32,1.72
Kindu,CD,212902,25.92,-2.95,80.43,37,20,4.29
Tigzirt,DZ,2504703,4.2,36.57,69.18,87,0,2.39
Avera,US,4231997,-82.53,33.19,75.2,83,90,10.29
Corinto,BR,3465512,-44.46,-18.36,54.6,82,0,3.62
Denpasar,ID,1645528,115.22,-8.65,84.2,70,40,13.87
Beringovskiy,RU,2126710,179.32,63.05,53.52,99,32,6.98
Wenling,CN,1791464,121.38,28.38,81.06,100,88,6.98
Mattru,SL,2409215,-11.83,7.62,72.33,99,68,2.62
Karratha,AU,6620339,116.85,-20.74,81.6,34,0,4.29
